Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-CV-7407-01A,0,0,0.038194264341675,0.0559668162504353,0,0.825585156038381,0,0.0273399887341136,0,0.0529137746353948,0,0.331065900829531,1.00080019405626
TCGA-CN-5366-01A,0.00414880664861826,0,0.0437682774353915,0.0152997609175022,0,0.918711334682487,0,0,0,0.0180718203160006,0,0.672886551043594,0.74229924853387
TCGA-CN-6011-01A,0.00756891176350314,0,0,0,0,0.992431088236497,0,0,0,0,0,0.626894682062998,0.796364366618137
TCGA-F7-A61S-01A,0.00369624852013017,0,0,0.00776065414998283,0,0.988536524423668,0,6.57290621879601e-06,0,0,0,0.792254370744032,0.610125709032495
TCGA-CV-7433-01A,0.0100979137893189,0,0.0563981952364882,0.084679729374235,0,0.834311655213293,0,0.000463736597365432,0,0.0140487697892998,0,0.53207503838196,0.858216406944777
TCGA-CR-6480-01A,0,0,0.0317401202042886,0.0420637343119504,0.00311396795596538,0.792442935470126,0,0.0274199649199727,0,0.103219277137697,0,0.235284899150955,1.05269544630695
TCGA-CV-7423-11A,0.00325163246032468,0,0,0.00528364927639337,0,0.931663751704944,0.000247171888222986,0.00584346147627335,0.0537103331938414,0,0,0.518008571473896,0.884797483636602
TCGA-CV-A45O-01A,0.0107465160785013,0,0,0,0,0.984054264833473,0.000523939621946213,0.00467527946607899,0,0,0,0.689881590749911,0.730131724397662
TCGA-CV-6933-01A,0,0.00272930484365569,0.0427788185431744,0.0190641019201388,0,0.923252730898351,0,0.00634658648198157,0,0.00582845731269883,0,0.673558051137309,0.741919475590245
TCGA-CV-A45V-01A,0.0127388441395995,0,0.00299538041114237,0.00968798296721567,0,0.965165422129985,0,0.00941237035205747,0,0,0,0.613310172937279,0.805294476999851
TCGA-CN-A49C-01A,0,0,0,0.010236226242511,0,0.952033803292728,0,0.0133382590328256,0,0.0243917114319349,0,0.424581530249925,0.965772706587873
TCGA-DQ-5630-01A,0.00830926333688646,0,0.0409889868975695,0.051285014844136,0,0.870299550627856,0,0.000734033408278503,0.0165383721254476,0.0118447787598257,0,0.676008144195443,0.737144267241253
TCGA-UP-A6WW-01A,0,0,0.0346282858169588,0.0356530001645647,0.00497968944394778,0.902001243848534,0,0.0104315371204298,0,0.0123062436055649,0,0.321278204498723,1.02839373812915
TCGA-CV-7406-11A,0,0,0.0267126287919182,0.0038332282260611,0,0.291415451124556,0.000228016293808252,0.00156826404932749,0.668028108135998,0.00821430337833139,0,0.576143954459929,0.822554310142014
TCGA-P3-A6T5-01A,0.00619473168512108,0,0.00780383072525267,0,0,0.983742008146576,0,0.00225942944305016,0,0,0,0.824239892015687,0.567495444532379
TCGA-CV-7261-11A,0,0,0.0256507327012223,0.00414850514840614,0,0.931861835216672,0,0.00306736234703792,0,0.0352715645866615,0,0.316046376025366,1.04139792369338
TCGA-IQ-A61J-01A,0.00942317365737365,0,0.00985713652322774,0.00544465814328999,0,0.947103264525418,0,0.00452416105277694,0.0166849235847367,0.00696268251317644,0,0.729522178820206,0.684412430044977
TCGA-CR-7379-01A,0,0,0.0265002547161425,0.00683477942339918,0.00123561915175719,0.9603318830121,0,0.000344233613481188,0,0.00475323008311977,0,0.639629106111476,0.779160930932004
TCGA-CV-A45Z-01A,0,0,0.0338463852454804,0.0474015924530772,0,0.907660015049152,0,0.00167125255107028,0,0.0094207547012202,0,0.596964521985204,0.812722154964959
TCGA-CN-4742-01A,0,0,0.074383177075649,0.00646206137180881,0.00437524197710523,0.901246049557969,0,0.00171739750125984,0,0.0118160725162079,0,0.507625155090049,0.887792498692378
TCGA-CV-A461-01A,0.0183960421676618,0,0.0341630058636644,0.0775547784192407,0.00409684059377516,0.854240935811349,0.000861117968999954,0.00496730577526061,0,0.00571997340004858,0,0.688895209128213,0.724776381606744
TCGA-CR-7388-01A,0,0.0154661569251154,0.0431985513150278,0.030075639466989,0.016689467480714,0.865317067121906,0.000308731222829705,0,0,0.0289443864674185,0,0.593094951585706,0.811376656220809
TCGA-BA-A6DE-01A,0,0,0.000500380471023686,0,0,0.999499619528976,0,0,0,0,0,0.841702046643404,0.541649229958144
TCGA-CV-6948-01A,0,0,0.032981953829172,0.036887953357346,0,0.898028750927877,0,0.0117021961179388,0,0.0203991457676658,0,0.453760930977098,0.929852002331043
TCGA-BB-4227-01A,0,0,0,0,0,0.994250567137085,0,0,0,0.0057494328629145,0,0.689582439780775,0.731593098935788
TCGA-P3-A6T4-01A,0.00317624395673202,0,0,0,0,0.99249320104018,0,0.00433055500308789,0,0,0,0.636360438868407,0.786906980344206
TCGA-QK-A6V9-01A,0.0150565563180248,0.0155774093815802,0,0.0245464286366313,0,0.834200175749046,0,0.0823036508246766,0,0.0283157790900408,0,0.228520872942834,1.06838508002019
TCGA-CR-7389-01A,0,0,0.0222124730524445,0.0230664817088149,0.0137147037344729,0.884644108528028,0,0,0,0.0563622329762397,0,0.606959998300115,0.801254073974857
TCGA-CV-6935-01A,0,0,0.0557552840555997,0.00699870953382039,0.000180814612031452,0.922569879527836,0,0,0,0.0144953122707123,0,0.465033574074768,0.926491687290019
TCGA-CN-6017-01A,0.00150953763218645,0,0.121790371196007,0.120954983580271,0.00660582488376017,0.339337010780415,0,0,0.35388326704297,0.0559190048843903,0,0.487977571857805,0.879853680340697
TCGA-CV-A6JU-01A,0,0,0.0368474968925889,0.0192400791408354,0,0.705800445925962,0,0,0.217269034846302,0.0208429431943124,0,0.697269808977792,0.725836641787884
TCGA-CR-7401-01A,0.00951310500161533,0,0.0229159837478529,0,0,0.943955286213098,0,0.000779489392228718,0.012742737152199,0.010093398493006,0,0.709044974675205,0.706535223638146
TCGA-CV-6933-11A,0,0,0.508352965556382,0.0456087466825727,0.0207980225060616,0.205819882758341,0,0,0,0.219420382496642,0,0.190506895722849,0.98971801445073
TCGA-CN-4739-01A,0,0.0226973056858634,0.0501054029387861,0.0429343367252419,0.0250472316747204,0.822863371363824,0,0,0,0.0363523516115646,0,0.388795948557697,0.961003823489081
TCGA-CV-A45Y-01A,0,0,0.110563489399893,0.0249376757359697,0.0136727498266727,0.817438856020757,0,0.0086546889898975,0,0.0247325400268099,0,0.700324120403582,0.714947455534178
TCGA-CR-6493-01A,0.00642511391907502,0,0,0,0,0.993574886080925,0,0,0,0,0,0.785155939067257,0.619275742001892
TCGA-BA-4076-01A,0,0,0.000319079971583411,0,0,0.993196185815334,0,0.00446645155843152,0,0.00201828265465128,0,0.621880972374443,0.801485101105188
TCGA-CV-6436-01A,0.0139403682240138,0,0,0.00703648563061327,0.000358290465669734,0.977773879250407,0,0.000890976429296339,0,0,0,0.82180382349949,0.571181491968385
TCGA-DQ-5625-01A,0.00264808053383035,0,0.00709051520034237,0.0409618552514165,0,0.826236339077225,0,0,0.123063209937185,0,0,0.740686265228794,0.675922412937338
TCGA-HL-7533-01A,0.00734706100530478,0,0,0.0105428014117313,0,0.982110137582964,0,0,0,0,0,0.729996718576124,0.685519591917427
TCGA-CV-A6JM-01A,0,0,0,0.000487113311644804,0,0.999512886688355,0,0,0,0,0,0.873206406458955,0.493069898078631
TCGA-QK-AA3K-01A,0.0080264169070466,0,0.51175786375213,0.109054064412537,0.00682851162314572,0.144621613214006,0,0.00259698444798098,0,0.217114545643154,0,0.16055828526699,0.997462696368932
TCGA-HD-7831-01A,0,0.000347716464633356,0.438048853205633,0.030509117942215,0,0.483149404427296,0.000143173252749408,0,0.000918803770541189,0.0468829309369321,0,0.128462654803592,1.03964487453067
TCGA-UF-A71B-01A,0.0038625305595276,0,0.0198763114081777,0,0.00160899869640918,0.969818473997148,0,0,0,0.00483368533873757,0,0.792495849790736,0.610058794670557
TCGA-CV-A45U-01A,0.00377908568589045,0,0.00349216712451351,0,0,0.989458065428851,0,0.00327068176074541,0,0,0,0.623694718450877,0.799061683649765
TCGA-CV-7440-11A,0,0,0.0197315272972613,0.00713942039842083,0,0.863592073206214,0,0.0044644733538493,0.0963950739267403,0.0086774318175147,0,0.47625458856732,0.905543731304589
TCGA-CV-6955-11A,0.00713310684155847,0,0.0272408857420649,0.0105579978642897,0,0.952173606497772,0,0.00289440305431535,0,0,0,0.675425153738993,0.742287232860207
TCGA-CV-7253-01A,0.0071039621286877,0,0,0,0,0.990258256061269,0.000263229662620759,0.00237455214742225,0,0,0,0.749912410927759,0.662702981992651
TCGA-P3-A6T8-01A,0,0.000347937352251909,0.138302750359205,0,0,0.828046048257039,0,0,0.0180925734700091,0.0152106905614943,0,0.399771735308211,0.954697413553225
TCGA-CR-5250-01A,0,0.0111587948620917,0.0559500023173967,0.0014941796793248,0.0125145476919578,0.867398871688516,2.789449474264e-05,0.010598624596661,0,0.0408570846693094,0,0.411457704295758,0.954621754306866
TCGA-BA-5152-01A,0,0.00506885920764567,0.000500553280670897,0.03258250431744,0.000148181133639024,0.949129854241705,0,0,0,0.0125700478188991,0,0.60644188860286,0.809552265569756
TCGA-CR-5247-01A,0,0,0.0456740755785061,0,0,0.94853574696116,0,0,0,0.00579017746033365,0,0.609422428974144,0.806653819930144
TCGA-MT-A7BN-01A,0,0,0.472405318301397,0.215549294275724,0,0.120801576379038,0.00978805128284794,0,0,0.181455759760993,0,0.109990223876176,1.01490255291587
TCGA-CN-A499-01A,0.00962411330915918,0,0.00774715597860405,0.0183284876392929,0,0.95137066195009,0,0.0097539620494946,0,0.00317561907335969,0,0.680142907216198,0.737354182539649
TCGA-CN-A498-01A,0.00945979525261963,0,0.0025190624141361,0.00498905764222657,0,0.973849611535855,0,0.00918247315516221,0,0,0,0.722230772613713,0.693780810832156
TCGA-CV-7103-01A,0,0,0.391065968228052,0.0184639562425793,0,0.507894570669425,0,0,0.0551465142231049,0.0274289906368387,0,0.267853530600726,0.980413790268521
TCGA-T2-A6X0-01A,0.00524761138247506,0,0.0458633243847086,0.0877872130436006,0.012827282216147,0.714861346272845,0,0.0633791412586013,0,0.0700340814416221,0,0.26052778175008,1.01764692517902
TCGA-CV-A45Q-01A,0.000981852886072378,0,0,1.04097153682064e-05,0,0.998076499721309,2.83981209448214e-06,8.06361083754551e-05,0.000847761756780676,0,0,0.830273614688558,0.558294883492192
TCGA-DQ-5631-01A,0,0,0.0852799244491308,0,0.000654581418298292,0.894646684220026,0,0,0,0.019418809912545,0,0.436427594961431,0.942504161497922
TCGA-CV-7410-01A,0,0.0465594439318745,0.0273181951250296,0.0404841203467506,0.00391823302065917,0.861232363200837,0,0.00123839737254123,0,0.0192492470023081,0,0.684275719049056,0.729154961414879
TCGA-P3-A6T2-01A,0,0,0.0109451933609947,0,0,0.98033653019867,0,0.00109225852792825,0,0.00762601791240721,0,0.679492492853547,0.740869065400556
TCGA-CV-6938-01A,0.00797023198431776,0,0.00214354422890784,0.0837726360294479,0,0.900273627550298,0,0.00380959031571181,0,0.00203036989131612,0,0.688366867065908,0.726114120434355
TCGA-CQ-A4C6-01A,4.4584436801518e-05,0,0.0119277687541218,0.0103892887378212,0,0.962076556273326,0,0.00639593435057751,0.0022754654237709,0.00689040202358138,0,0.769869188485977,0.638124609075232
TCGA-CV-7425-11A,0.00402196103369316,0,0,0.0101813585228578,0,0.979002680186418,0.000282720707811916,0.00651127954921876,0,0,0,0.725749127278903,0.690155599908581
TCGA-BA-6873-01A,0.000393646190329367,0,0.0122201574787172,0.0134401410311158,0,0.963506554200513,0,0.00181903376144484,0.00142626577256598,0.00719420156531344,0,0.679252593846844,0.739402844627668
TCGA-CN-6022-01A,0,0,0.246520612192678,0.0888095592263865,0,0.584447417063436,0,0,0.0540056468735668,0.026216764643933,0,0.254329622241232,0.995988877838194
TCGA-CV-7235-11A,0,0,0.416852507328593,0.322699493484461,0.00765909161372485,0.130059977235599,0,0.00136877160159259,0,0.121360158736029,0,0.293598230436618,0.957193360193021
TCGA-CQ-6229-01A,0.00220274930437887,0,0.0043665944612119,0.00696341669125479,0,0.970671983994771,1.61375552130171e-05,0.00247768173500269,0.0130078543355676,0.00029358192260057,0,0.771187721189612,0.636543614796514
TCGA-CV-6441-01A,0,0,0.0236766872665461,0,0,0.554000238324652,0,0.0114862624154949,0.389377898963573,0.0214589130297336,0,0.393954602402482,0.926029501753214
TCGA-CV-7434-01A,0.00881994510488721,0,0,0,0,0.986425652079108,0,0.00475440281600498,0,0,0,0.764519783675993,0.64493038717979
TCGA-CV-6952-01A,0.010468304594399,0,0,0,0,0.983323435591331,0,0.0062082598142702,0,0,0,0.743627923994898,0.669790835101975
TCGA-CQ-5326-01A,0.00723911029198743,0,0,0.00910926785452858,0,0.983267364064336,0.000384257789147459,0,0,0,0,0.760112782160032,0.650195731667552
TCGA-CN-A6V6-01A,0.0162317929135345,0,0.0601320782146361,0.136050139991175,0.00297218397287199,0.61041932380236,0,0.0374441527179159,0.0836263821764184,0.0531239462110886,0,0.400526020847247,0.922642431710492
TCGA-CV-6955-01A,0.00311796762314056,0,0,0.0255622192812955,0,0.967802665071272,6.62794369804505e-05,0.00345086858731172,0,0,0,0.436474593945646,0.96059506426025
TCGA-CN-6019-01A,0,0,0.308485544772971,0.124806268495388,0.00158105562307486,0.501011795748298,0,0,0.0114542809594812,0.0526610544007859,0,0.188691820200422,1.01464245642355
TCGA-CV-7437-11A,0,0,0,0.00401585025067132,0,0.981407118874998,0,0.0117384059420113,0,0.00283862493231954,0,0.326727289081377,1.04965948157133
TCGA-CR-5243-01A,0,0.0308758369470413,0.184726706054961,0.0101722726078596,0.0195264865844022,0.654949785740998,0,0.000310781106790681,0,0.0994381309579475,0,0.223144962017749,1.02465192121051
TCGA-BA-6868-01B,0,0,0.0563503630785082,0,0,0.937159120461475,1.26337241781675e-05,0.000412527433656978,0,0.006065355302182,0,0.358392155984856,1.01219856983115
TCGA-CQ-5330-01A,0,0,0.086728284201195,0.0752436447016417,0,0.76202158388928,0,0,0.058700070284115,0.0173064169237684,0,0.47653356015372,0.890245619425284
TCGA-P3-A6T7-01A,0.01123163651602,0,0,0,0,0.981871399409326,0,0.00689696407465398,0,0,0,0.727642176991294,0.688171405304424
TCGA-D6-6827-01A,0,0,0.470410020209303,0.0689495544588617,0,0.22807781848166,0,0.0380041165797592,0,0.194558490270416,0,0.213208980654441,0.982095396696621
TCGA-CN-6992-01A,0,0.00200033027873644,0.0800117529946262,0.0182425999204281,0,0.862906888830547,0,0,0,0.0368384279756621,0,0.461060679863102,0.917116919599739
TCGA-CR-7402-01A,0,0,0.0148795738009935,0.0148655791956778,0.00578594154056035,0.953200021497887,0,0.0018797647188468,0,0.00938911924603421,0,0.553164078815212,0.858739661109207
TCGA-CR-6470-01A,0,0.0684719690794946,0.145659144138663,0.0942926880034998,0.0487542642140119,0.545355643119577,0,0.0438334660783044,0,0.0536328253664492,0,0.203516153239842,1.01274851897267
TCGA-CN-6023-01A,0.00843379782530508,0,0.117682198128348,0.332232164023205,0.0153928968836578,0.362436909544103,0,0.0208742031251557,0,0.142947830470225,0,0.221817781974319,0.993158907160891
TCGA-DQ-5624-01A,0,7.98185182672913e-05,0.0178690032357247,0.00567794071156402,0,0.947448871590975,0,0.00560540289444767,0.00900692142963584,0.0143120416193859,0,0.58084655993351,0.832830593903287
TCGA-HD-A6HZ-11A,0.00363494415332828,0,0.0635089393147364,0.00484510048231856,0.000248673840911253,0.77450654558245,0,0.000830012105574774,0.135970617350014,0.0164551671706665,0,0.334968334613283,0.986366741076079
TCGA-CQ-A4CE-01A,0.011652499294768,0,0,0.00074514551016199,0,0.982029143855953,0,0.00557321133911669,0,0,0,0.757618686364686,0.65314974851493
TCGA-UF-A7JV-01A,0,0,0.0969137707333784,0.0653983574280065,0,0.826194333010169,0,0,0,0.011493538828446,0,0.178067468076475,1.09836651492297
TCGA-CV-7427-01A,0.005878721278977,0,0,0.044903623620818,0,0.945604057244926,0,0.00361359785527939,0,0,0,0.666937388387355,0.75038800247432
TCGA-CV-5973-01A,0,7.87414462567957e-05,0,0,1.07959510733331e-05,0.999880368942976,2.68702829771147e-05,3.22337671628655e-06,0,0,0,0.795007599394423,0.60653598389422
TCGA-DQ-5629-01A,0,0,0.0222384714933214,0,0.000131608604363593,0.964300393770102,0,0.00201531558794109,0,0.0113142105442717,0,0.688812026606474,0.729456899496277
TCGA-BA-A4IH-01A,0.00516575939651089,0,0.101963052941172,0.0153408832888734,0,0.777273879461717,0,0.033010973637746,0,0.0672454512739808,0,0.647804655552794,0.761966930755324
TCGA-CV-A6JT-01A,0.00675025504278218,0,0.00361008722129032,0,0,0.974000331136759,0,0,0.0156393265991689,0,0,0.790558023763044,0.612447573294689
TCGA-CV-7177-01A,0,0,0.0902482806800004,0.00617063726296712,8.86188799750261e-06,0.865076784709729,0,0.00314666403251632,0,0.0353487714267893,0,0.51069830020768,0.879169208560502
TCGA-BA-6870-01A,0,0.00591197045004722,0.00377998163347557,0,0.00461892147822198,0.973397713791665,0.000425296452913337,0,0,0.0118661161936772,0,0.74512476205621,0.667629334273729
TCGA-CV-7446-01A,0,0,0.0499506731291741,0.00341959918368436,0,0.914527330794141,0,0.0148911672653868,0,0.0172112296276134,0,0.453956052687051,0.933305926992716
TCGA-IQ-A61G-01A,0,0,0,0,0,0.999368473791296,0,0.000631526208703993,0,0,0,0.852666369916126,0.52526453472791
TCGA-D6-A6EK-01A,0.000837310562748463,0.000344162193398029,0,0.0061231975514473,0.0016475983443999,0.987972376999966,0.000107945715859593,0.00296740863218043,0,0,0,0.876469715276922,0.489306547920664
TCGA-IQ-A61I-01A,0,0,0.0180392066872985,0.0534688132056613,0.00315448144382545,0.852941324337714,0,0.0269452027393918,0,0.0454509715861089,0,0.318709980072595,1.01623238521634
TCGA-CN-A6UY-01A,0.0288077635547273,0.000274873999742343,0.00481111926640894,0.038187983736002,0.00141789941184251,0.877776223943032,0,0.0327709783613069,0,0.0159531577269385,0,0.378289018893786,0.980910684185587
TCGA-CV-A465-01A,3.03121939686104e-05,0,0,0,0,0.999969687806031,0,0,0,0,0,0.837074844929606,0.548395954276603
TCGA-CR-7383-01A,0.000670063504746785,0,0.0427645312511742,0.0421219515048301,0.0013997466389907,0.864615263748554,0,0,0.0191194353447015,0.0293090080070028,0,0.657114894790061,0.754603441770265
TCGA-P3-A6T0-01A,0.00693416049578487,0,0.00122956851032452,0,0,0.991836270993891,0,0,0,0,0,0.63781164358744,0.785343081741071
TCGA-D6-A4ZB-01A,0,0,0.0219360477148315,0,0.00623681091437117,0.965390200765886,0,0,0,0.00643694060491171,0,0.749275695426741,0.662547145631032
TCGA-BA-A4II-01A,0.00147120218449564,0,0.0108936793170444,0.00582776792517443,0.000729683614374542,0.968144313251926,0,0.00355003508268325,0,0.00938331862430141,0,0.721566780622933,0.69420701988116
TCGA-CN-5359-01A,0.00595293556463242,0,0.114109691745644,0.141757058941119,0,0.707139692323128,0,0.00349554866340638,0,0.0275450727620699,0,0.34930746807557,0.965626370046924
TCGA-CV-7438-01A,0.00460750337117267,0,0.0477050009064741,0.00734012360748184,0.00228066550626287,0.87079963034588,0,0,0.0672670762627281,0,0,0.749910573217169,0.663484792544487
TCGA-CV-7097-01A,0,0,0.0466547975937327,0.0255360846751066,0,0.879499783791015,0,0.000481454342273014,0.0478278795978732,0,0,0.700021906111381,0.714048581875669
